(231, 381)
(154, 33)
(-254, -292)
(-50, -347)
(-378, -119)
(288, 375)
(-170, -263)
(-130, 277)
(-279, -287)
(214, -312)
(-154, -327)
(111, 158)
(-12, 135)
(-3, 297)
(-211, 221)
(-91, -30)
(-94, -354)
(215, 82)
(78, -82)
(163, -79)
(291, 65)
(-251, 251)
(-200, -153)
(322, -312)
(-75, 132)
(-354, 2)
(252, -219)
(183, -321)
(-78, -309)
(-221, -19)
(-260, 287)
(34, 206)
(-89, -37)
(-213, -94)
(-57, -245)
(372, -142)
(286, 176)
(341, -109)
(221, -144)
(291, -224)
(-379, -119)
(377, -200)
(30, -42)
(-54, 38)
(33, -103)
(-393, 333)
(-168, -312)
(14, -312)
(208, -308)
(-40, -204)
(-48, 312)
(16, -58)
(372, -58)
(124, -377)
(341, -267)
(205, -96)
(-317, 203)
(143, -200)
(-250, -170)
(107, 272)
